day,configuration,student_id,daily_student_count,arrival_minute_after_9am,counselling_form_wait_minutes,counselling_form_service_minutes,registration_queue_wait_minutes,registration_service_minutes,approval_queue_wait_minutes,approval_service_minutes,total_wait_minutes,whole_process_minutes,completed_by_4_30pm
5,Base system: one officer at registration,12,20,434.51,0.0,0.92,1.34,13.24,0.0,13.37,1.34,28.88,No
5,Base system: one officer at registration,13,20,216.7,0.0,0.68,38.09,13.87,0.68,13.91,38.77,67.24,Yes
5,Base system: one officer at registration,14,20,246.01,0.0,0.63,52.94,16.38,0.0,10.17,52.94,80.12,Yes
5,Base system: one officer at registration,15,20,412.83,0.0,0.96,7.22,15.76,0.0,12.58,7.22,36.53,Yes
5,Base system: one officer at registration,16,20,404.43,0.0,0.94,0.0,15.64,0.0,13.22,0.0,29.8,Yes
5,Base system: one officer at registration,17,20,255.41,0.0,0.82,59.73,16.8,0.0,11.33,59.73,88.68,Yes
5,Base system: one officer at registration,18,20,103.52,0.0,0.84,0.0,15.63,0.0,12.79,0.0,29.26,Yes
5,Base system: one officer at registration,19,20,235.47,0.0,0.77,49.78,13.56,0.0,14.59,49.78,78.7,Yes
5,Base system: one officer at registration,20,20,161.59,0.0,0.62,23.49,13.43,0.0,14.02,23.49,51.56,Yes
6,Base system: one officer at registration,1,24,246.67,0.0,0.68,6.87,16.29,0.0,10.46,6.87,34.3,Yes
6,Base system: one officer at registration,2,24,59.35,0.0,0.82,30.9,14.53,0.0,12.15,30.9,58.41,Yes
6,Base system: one officer at registration,3,24,320.2,0.0,0.75,11.43,12.99,0.02,12.55,11.45,37.74,Yes
6,Base system: one officer at registration,4,24,136.01,0.0,0.91,72.16,16.6,0.0,10.01,72.16,99.68,Yes
6,Base system: one officer at registration,5,24,422.25,0.0,0.66,0.0,15.49,0.0,12.92,0.0,29.07,No
6,Base system: one officer at registration,6,24,86.72,0.0,0.57,63.14,16.1,0.0,12.65,63.14,92.45,Yes
6,Base system: one officer at registration,7,24,342.89,0.0,0.56,1.91,12.93,0.0,14.2,1.91,29.61,Yes
6,Base system: one officer at registration,8,24,74.54,0.0,0.64,59.75,15.49,0.1,14.52,59.85,90.5,Yes
6,Base system: one officer at registration,9,24,434.74,0.0,0.77,2.89,16.4,0.0,12.41,2.89,32.47,No
6,Base system: one officer at registration,10,24,393.12,0.0,0.57,3.16,16.96,0.0,12.25,3.16,32.95,Yes
6,Base system: one officer at registration,11,24,48.38,0.0,0.92,8.44,16.64,0.0,14.9,8.44,40.9,Yes
6,Base system: one officer at registration,12,24,292.19,0.0,0.64,0.0,16.97,0.0,14.04,0.0,31.66,Yes
6,Base system: one officer at registration,13,24,98.12,0.4,0.59,81.85,14.57,0.0,10.47,82.25,107.88,Yes
6,Base system: one officer at registration,14,24,230.22,0.0,0.64,7.98,15.39,0.0,11.84,7.98,35.84,Yes
6,Base system: one officer at registration,15,24,382.64,0.0,0.56,0.0,13.66,0.0,10.48,0.0,24.7,Yes
6,Base system: one officer at registration,16,24,69.71,0.0,0.97,34.93,17.32,0.0,13.28,34.93,66.5,Yes
6,Base system: one officer at registration,17,24,97.7,0.0,0.83,68.01,14.43,0.0,10.21,68.01,93.47,Yes
6,Base system: one officer at registration,18,24,32.99,0.0,0.67,9.5,14.58,0.0,12.64,9.5,37.39,Yes
6,Base system: one officer at registration,19,24,28.58,0.0,0.67,0.0,13.92,0.0,12.17,0.0,26.76,Yes
6,Base system: one officer at registration,20,24,224.5,0.0,0.89,0.29,13.16,0.0,13.21,0.29,27.55,Yes
6,Base system: one officer at registration,21,24,73.37,0.0,0.79,48.78,12.0,1.27,14.32,50.05,77.16,Yes
6,Base system: one officer at registration,22,24,57.98,0.0,0.64,15.77,16.69,0.0,11.96,15.77,45.06,Yes
6,Base system: one officer at registration,23,24,314.17,0.0,0.65,0.0,17.57,0.0,13.0,0.0,31.22,Yes
6,Base system: one officer at registration,24,24,131.29,0.0,0.7,63.54,13.55,0.0,10.14,63.54,87.93,Yes
7,Base system: one officer at registration,1,28,30.1,0.0,0.53,16.55,13.16,1.44,14.81,17.99,46.48,Yes
7,Base system: one officer at registration,2,28,185.96,0.0,0.85,27.24,15.91,0.0,13.7,27.24,57.69,Yes
7,Base system: one officer at registration,3,28,49.73,0.0,0.63,9.98,14.56,1.69,13.38,11.67,40.23,Yes
7,Base system: one officer at registration,4,28,338.45,0.0,0.53,63.59,16.34,0.0,14.59,63.59,95.06,Yes
7,Base system: one officer at registration,5,28,230.08,0.0,0.98,32.21,15.88,0.0,12.56,32.21,61.63,Yes
7,Base system: one officer at registration,6,28,22.35,0.0,0.89,11.5,12.44,0.0,14.6,11.5,39.42,Yes
7,Base system: one officer at registration,7,28,20.16,0.0,0.6,0.0,13.97,0.0,11.28,0.0,25.85,Yes
7,Base system: one officer at registration,8,28,331.17,0.0,0.91,54.81,15.68,0.0,12.69,54.81,84.1,Yes
7,Base system: one officer at registration,9,28,69.46,0.0,0.66,21.08,12.95,1.92,13.61,23.0,50.22,Yes
7,Base system: one officer at registration,10,28,330.19,0.0,0.97,38.45,17.28,0.0,12.63,38.45,69.34,Yes
7,Base system: one officer at registration,11,28,283.7,0.0,0.57,37.86,17.23,0.0,14.75,37.86,70.41,Yes
7,Base system: one officer at registration,12,28,226.93,0.0,0.69,20.03,15.62,0.0,10.13,20.03,46.48,Yes
7,Base system: one officer at registration,13,28,385.11,0.0,0.69,46.17,13.58,0.0,10.17,46.17,70.6,No
7,Base system: one officer at registration,14,28,271.15,0.0,0.77,20.62,14.44,0.0,12.83,20.62,48.67,Yes
7,Base system: one officer at registration,15,28,258.01,0.0,0.89,20.26,13.39,0.0,11.72,20.26,46.25,Yes
7,Base system: one officer at registration,16,28,180.04,0.03,0.81,16.04,17.13,0.0,12.86,16.07,46.87,Yes
7,Base system: one officer at registration,17,28,111.94,0.0,0.74,0.0,14.64,0.0,12.28,0.0,27.66,Yes
7,Base system: one officer at registration,18,28,62.09,0.0,0.8,12.0,16.3,0.0,14.87,12.0,43.98,Yes
7,Base system: one officer at registration,19,28,190.46,0.0,0.75,38.74,17.7,0.0,11.88,38.74,69.07,Yes
7,Base system: one officer at registration,20,28,169.23,0.0,0.63,0.0,12.62,0.0,12.83,0.0,26.07,Yes
7,Base system: one officer at registration,21,28,347.61,0.0,0.85,70.46,13.04,1.55,10.04,72.01,95.95,Yes
7,Base system: one officer at registration,22,28,120.77,0.0,0.61,5.94,17.8,0.0,10.61,5.94,34.96,Yes
7,Base system: one officer at registration,23,28,179.35,0.0,0.72,2.4,14.44,0.0,14.53,2.4,32.1,Yes
7,Base system: one officer at registration,24,28,425.75,0.0,0.72,34.65,14.57,0.0,12.25,34.65,62.19,No
7,Base system: one officer at registration,25,28,279.13,0.0,0.77,27.09,15.15,0.0,14.87,27.09,57.87,Yes
7,Base system: one officer at registration,26,28,297.57,0.0,0.6,41.2,16.01,0.0,14.57,41.2,72.38,Yes
7,Base system: one officer at registration,27,28,309.56,0.0,0.54,45.28,14.23,0.34,13.24,45.62,73.64,Yes
7,Base system: one officer at registration,28,28,409.55,0.0,0.83,35.16,15.58,0.0,10.39,35.16,61.96,No
7,Day 7 improvement: one registration officer,1,28,186.8,0.0,0.6,39.9,15.89,0.0,10.25,39.9,66.64,Yes
7,Day 7 improvement: one registration officer,2,28,140.07,0.75,0.58,52.24,17.4,0.0,14.95,52.99,85.92,Yes
7,Day 7 improvement: one registration officer,3,28,428.47,0.0,0.96,30.83,12.42,2.57,12.07,33.4,58.85,No
7,Day 7 improvement: one registration officer,4,28,54.2,0.0,0.77,0.99,14.66,0.0,14.24,0.99,30.65,Yes
7,Day 7 improvement: one registration officer,5,28,394.93,0.0,0.85,10.35,13.97,0.0,14.61,10.35,39.77,Yes
7,Day 7 improvement: one registration officer,6,28,389.86,0.0,0.73,0.0,15.53,0.0,12.31,0.0,28.57,Yes
7,Day 7 improvement: one registration officer,7,28,445.99,0.0,0.8,39.15,12.78,1.15,12.26,40.3,66.15,No
7,Day 7 improvement: one registration officer,8,28,193.37,0.0,0.81,49.01,13.47,0.0,11.73,49.01,75.01,Yes
7,Day 7 improvement: one registration officer,9,28,124.97,0.0,0.97,22.26,17.73,0.0,12.72,22.26,53.68,Yes
7,Day 7 improvement: one registration officer,10,28,282.88,0.0,0.93,0.0,14.57,0.0,13.16,0.0,28.67,Yes
7,Day 7 improvement: one registration officer,11,28,425.48,0.0,0.95,21.5,12.33,0.33,14.66,21.83,49.77,No
7,Day 7 improvement: one registration officer,12,28,156.57,0.0,0.51,53.96,16.25,0.0,13.44,53.96,84.16,Yes
7,Day 7 improvement: one registration officer,13,28,357.77,0.0,0.95,0.0,17.0,0.0,13.54,0.0,31.49,Yes
7,Day 7 improvement: one registration officer,14,28,92.88,0.0,0.78,0.26,15.01,0.0,14.77,0.26,30.83,Yes
7,Day 7 improvement: one registration officer,15,28,38.82,0.0,0.58,0.0,16.55,0.0,11.86,0.0,28.99,Yes
7,Day 7 improvement: one registration officer,16,28,122.8,0.0,0.9,8.14,16.37,0.0,14.82,8.14,40.22,Yes
7,Day 7 improvement: one registration officer,17,28,136.18,0.0,0.53,29.22,14.8,0.0,13.93,29.22,58.47,Yes
7,Day 7 improvement: one registration officer,18,28,221.76,0.0,0.58,34.32,12.62,0.0,13.04,34.32,60.57,Yes
7,Day 7 improvement: one registration officer,19,28,76.67,0.0,0.64,0.0,16.61,0.0,13.97,0.0,31.22,Yes
7,Day 7 improvement: one registration officer,20,28,327.82,0.0,0.88,0.0,17.15,0.0,14.16,0.0,32.19,Yes
7,Day 7 improvement: one registration officer,21,28,113.46,0.0,0.53,0.0,17.83,0.0,13.71,0.0,32.07,Yes
7,Day 7 improvement: one registration officer,22,28,418.34,0.0,0.91,15.84,12.83,0.17,12.49,16.02,42.25,No
7,Day 7 improvement: one registration officer,23,28,4.51,0.0,0.54,0.0,16.9,0.0,14.72,0.0,32.16,Yes
7,Day 7 improvement: one registration officer,24,28,139.97,0.0,0.85,39.91,12.92,1.01,13.9,40.92,68.59,Yes
7,Day 7 improvement: one registration officer,25,28,409.36,0.0,0.7,10.04,15.0,0.0,13.01,10.04,38.74,Yes
7,Day 7 improvement: one registration officer,26,28,221.92,0.42,0.77,46.18,12.61,0.43,12.3,47.02,72.7,Yes
7,Day 7 improvement: one registration officer,27,28,16.06,0.0,0.81,5.07,13.29,1.44,13.49,6.51,34.1,Yes
7,Day 7 improvement: one registration officer,28,28,443.58,0.0,0.62,28.48,13.26,1.38,12.56,29.86,56.3,No
7,Day 7 improvement: two registration officers,1,28,186.8,0.0,0.6,0.0,15.89,26.02,10.25,26.02,52.75,Yes
7,Day 7 improvement: two registration officers,2,28,140.07,0.75,0.58,13.46,17.4,28.66,14.95,42.86,75.79,Yes
7,Day 7 improvement: two registration officers,3,28,428.47,0.0,0.96,2.65,12.42,28.69,12.07,31.35,56.79,No
7,Day 7 improvement: two registration officers,4,28,54.2,0.0,0.77,0.0,14.66,0.0,14.24,0.0,29.66,Yes
7,Day 7 improvement: two registration officers,5,28,394.93,0.0,0.85,0.0,13.97,8.69,14.61,8.69,38.11,Yes
7,Day 7 improvement: two registration officers,6,28,389.86,0.0,0.73,0.0,15.53,0.0,12.31,0.0,28.57,Yes
7,Day 7 improvement: two registration officers,7,28,445.99,0.0,0.8,0.0,12.78,38.25,12.26,38.25,64.1,No
7,Day 7 improvement: two registration officers,8,28,193.37,0.0,0.81,0.0,13.47,31.9,11.73,31.9,57.9,Yes
7,Day 7 improvement: two registration officers,9,28,124.97,0.0,0.97,5.89,17.73,10.79,12.72,16.68,48.11,Yes
7,Day 7 improvement: two registration officers,10,28,282.88,0.0,0.93,0.0,14.57,0.0,13.16,0.0,28.67,Yes
7,Day 7 improvement: two registration officers,11,28,425.48,0.0,0.95,0.0,12.33,19.77,14.66,19.77,47.72,No
7,Day 7 improvement: two registration officers,12,28,156.57,0.0,0.51,5.4,16.25,37.13,13.44,42.53,72.73,Yes
7,Day 7 improvement: two registration officers,13,28,357.77,0.0,0.95,0.0,17.0,0.0,13.54,0.0,31.49,Yes
7,Day 7 improvement: two registration officers,14,28,92.88,0.0,0.78,0.0,15.01,0.0,14.77,0.0,30.56,Yes
7,Day 7 improvement: two registration officers,15,28,38.82,0.0,0.58,0.0,16.55,0.0,11.86,0.0,28.99,Yes
7,Day 7 improvement: two registration officers,16,28,122.8,0.0,0.9,0.0,16.37,5.48,14.82,5.48,37.56,Yes
7,Day 7 improvement: two registration officers,17,28,136.18,0.0,0.53,3.35,14.8,18.22,13.93,21.58,50.83,Yes
7,Day 7 improvement: two registration officers,18,28,221.76,0.0,0.58,0.0,12.62,16.32,13.04,16.32,42.56,Yes
7,Day 7 improvement: two registration officers,19,28,76.67,0.0,0.64,0.0,16.61,0.0,13.97,0.0,31.22,Yes
7,Day 7 improvement: two registration officers,20,28,327.82,0.0,0.88,0.0,17.15,0.0,14.16,0.0,32.19,Yes
7,Day 7 improvement: two registration officers,21,28,113.46,0.0,0.53,0.0,17.83,0.0,13.71,0.0,32.07,Yes
7,Day 7 improvement: two registration officers,22,28,418.34,0.0,0.91,0.0,12.83,13.96,12.49,13.96,40.19,No
7,Day 7 improvement: two registration officers,23,28,4.51,0.0,0.54,0.0,16.9,0.0,14.72,0.0,32.16,Yes
7,Day 7 improvement: two registration officers,24,28,139.97,0.0,0.85,8.74,12.92,24.53,13.9,33.27,60.94,Yes
7,Day 7 improvement: two registration officers,25,28,409.36,0.0,0.7,0.0,15.0,7.98,13.01,7.98,36.69,Yes
7,Day 7 improvement: two registration officers,26,28,221.92,0.42,0.77,0.0,12.61,28.6,12.3,29.02,54.7,Yes
7,Day 7 improvement: two registration officers,27,28,16.06,0.0,0.81,0.0,13.29,6.51,13.49,6.51,34.1,Yes
7,Day 7 improvement: two registration officers,28,28,443.58,0.0,0.62,0.0,13.26,27.81,12.56,27.81,54.24,No
